ESTUDIANTE;CARRERA;HT1;HT2;HT3;HT4;HT5;HT6;HT7;HT8;HT9;P01;C01;Rendimiento;ZONA;
1;ELECTRONICA;10;0;80;86;100;100;89;55;66;71.428568;90;0.754426542;Aprobado;OK
2;MECATRONICA;100;108;100;86;100;100;85;65;94;75.714288;100;0.914945058;Aprobado;OK
3;ALIMENTOS;90;65;0;0;0;0;40;40;27;27.8142843;60;0.33663736;Reprobado;:O(
4;QUIMICA;100;65;87;0;100;100;75;65;85;26.1642843;80;0.684098899;Aprobado;OK
5;MECATRONICA;100;88;40;67;90.5;90.5;65;40;37;69;100;0.735384615;Aprobado;OK
6;ADMINISTRACION;70;0;100;98;42.5;42.5;77;85;70;0;80;0.573076923;Reprobado;OK
7;COMPUTACION;60;78;85;57;77.5;77.5;98;65;76;86;100;0.804615385;Aprobado;OK
8;MECANICA INDUSTRIAL;0;55;0;30;0;0;0;25;0;0;60;0.176923077;Reprobado;:O(
9;INDUSTRIAL;0;0;0;0;0;0;0;0;0;0;20;0.030769231;Reprobado;:O(
10;ALIMENTOS;100;108;100;28;90.5;90.5;95;98;76;100;100;0.912307692;Aprobado;OK
11;ELECTRONICA;100;108;100;86;82.5;82.5;100;40;66;94.04762;100;0.886996338;Aprobado;OK
12;ALIMENTOS;100;108;5;0;95;95;37;55;0;59.285712;90;0.610439557;Reprobado;OK
13;QUIMICA;10;73;100;57;47.5;47.5;35;55;84;78.3214298;100;0.665879123;Aprobado;OK
14;CIVIL;100;0;71;0;52.5;52.5;57;25;0;0;70;0.383076923;Reprobado;:O(
15;MECATRONICA;90;0;0;0;85;85;85;88;54;69;60;0.573076923;Reprobado;OK
16;COMPUTACION;100;75;0;73;75;75;70;55;50;29.1696438;90;0.624107144;Aprobado;OK
17;FISICA;0;0;0;0;0;0;0;0;0;0;60;0.092307692;Reprobado;:O(
18;MECATRONICA;100;0;0;0;95;95;35;0;0;0;50;0.326923077;Reprobado;:O(
19;COMPUTACION;0;63;5;0;30;30;20;90;74;70.714288;90;0.487252751;Reprobado;OK
20;QUIMICA;100;65;80;0;35;35;100;100;74;70.285712;80;0.684285711;Aprobado;OK
21;ALIMENTOS;0;0;0;0;0;0;0;0;0;28.2857157;60;0.135824178;Reprobado;:O(
22;MECANICA;100;108;87;93;100;100;0;0;51;27.8142843;70;0.642021976;Aprobado;OK
23;INDUSTRIAL;0;0;50;86;0;0;45;55;41;0;80;0.336153846;Reprobado;:O(
24;MECATRONICA;0;0;95;0;100;100;100;55;50;70.6428596;80;0.61637363;Aprobado;OK
25;ELECTRONICA;100;0;81;55;100;100;90;88;64;98.21429;90;0.811098908;Aprobado;OK
26;INDUSTRIAL;90;0;0;0;0;0;0;0;0;17.25;20;0.126538462;Reprobado;:O(
27;BIOINFORMATICA;100;108;90;90;95;95;60;90;90;100;100;0.936923077;Aprobado;:O)
28;CIVIL;100;98;87;83;70;70;80;75;60;0;100;0.71;Aprobado;OK
29;ALIMENTOS;100;47;100;100;100;100;100;88;100;100;100;0.95;Aprobado;:O)
